"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","alpha.plot2.all","alpha.plot2.inv","plot2.all.btotal","plot2.all.brich","plot2.all.brepl","plot2.inv.btotal","plot2.inv.brich","plot2.inv.brepl"
"2017.guil.moniz.0","Guilherme_moniz","2","0","0","0.0624949143577767","0","0","6","1","0","0","0","0","0","0"
"2017.serreta.0","Lagoinha","2","0","0","0.0624949143577767","0","0","12","2","0.84375","0.15625","0.6875","0.705882352941177","0.352941176470588","0.352941176470588"
"2017.serreta.50","Lagoinha","2","50","50","0.0624949143577767","0.437499572754532","0.152183322905007","7","0","0.962264150943396","0.150943396226415","0.811320754716981","1","1","0"
"2017.serreta.250","Lagoinha","2","250","250","0.0624949143577767","2.18749786377266","0.760916614525034","9","0","0.966386554621849","0.0252100840336134","0.941176470588235","1","1","0"
"2017.serreta.control50","Lagoinha","70","293","300","2.18732200252218","2.56374749634156","0.91309993743004","14","3","0","0","0","0","0","0"
"2017.mist.negros.0","Mistérios_Negros","2","0","0","0.0624949143577767","0","0","7","0","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429"
"2017.mist.negros.50","Mistérios_Negros","2","-25","50","0.0624949143577767","-0.218749786377266","0.152183322905007","3","1","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538"
"2017.mist.negros.250","Mistérios_Negros","2","0","250","0.0624949143577767","0","0.760916614525034","5","0","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667"
"2017.mist.negros.max","Mistérios_Negros","2","25","960","0.0624949143577767","0.218749786377266","2.92191979977613","6","0","0.5","0.5","0.5","0.5","0.5","0.5"
"2017.mist.negros.control50","Mistérios_Negros","70","70","200","2.18732200252218","0.612499401856345","0.608733291620027","8","0","0","0","0","0","0","0"
"2017.malhadas.0","Pico_Vara","2","0","0","0.0624949143577767","0","0","13","2","0.760416666666667","0.03125","0.729166666666667","0.733333333333333","0.6","0.133333333333333"
"2017.malhadas.50","Pico_Vara","2","14","50","0.0624949143577767","0.122499880371269","0.152183322905007","15","3","0.588888888888889","0.0555555555555556","0.533333333333333","0.533333333333333","0.4","0.133333333333333"
"2017.malhadas.250","Pico_Vara","2","0","250","0.0624949143577767","0","0.760916614525034","10","3","0.703703703703704","0.209876543209877","0.493827160493827","0.7","0.1","0.6"
"2017.malhadas.max","Pico_Vara","2","80","400","0.0624949143577767","0.699999316407251","1.21746658324005","12","2","0.516129032258065","0.172043010752688","0.344086021505376","0.3","0.3","0"
"2017.malhadas.control50","Pico_Vara","70","124","50","2.18732200252218","1.08499894043124","0.152183322905007","13","2","0","0","0","0","0","0"
"2019.guil.moniz.0","Guilherme_moniz","2","0","0","0.0624949143577767","0","0","6","0","0","0","0","0","0","0"
"2019.serreta.0","Lagoinha","2","0","0","0.0624949143577767","0","0","11","1","0.853448275862069","0.0948275862068965","0.758620689655172","1","0.846153846153846","0.153846153846154"
"2019.serreta.50","Lagoinha","2","50","50","0.0624949143577767","0.437499572754532","0.152183322905007","11","1","0.961165048543689","0.359223300970874","0.601941747572815","1","0","1"
"2019.serreta.250","Lagoinha","2","200","250","0.0624949143577767","1.74999829101813","0.760916614525034","12","1","0.82051282051282","0.0512820512820513","0.769230769230769","0","0","0"
"2019.serreta.control 50","Lagoinha","70","293","300","2.18732200252218","2.56374749634156","0.91309993743004","14","1","0","0","0","0","0","0"
"2019.mist.negros.0","Mistérios_Negros","2","0","0","0.0624949143577767","0","0","8","1","0.887755102040816","0.255102040816327","0.63265306122449","1","1","0"
"2019.mist.negros.50","Mistérios_Negros","2","-25","50","0.0624949143577767","-0.218749786377266","0.152183322905007","3","1","0.934210526315789","0.697368421052632","0.236842105263158","1","1","0"
"2019.mist.negros.250","Mistérios_Negros","2","0","250","0.0624949143577767","0","0.760916614525034","6","0","0.75","0.09","0.66","0","0","0"
"2019.mist.negros.max","Mistérios_Negros","2","25","960","0.0624949143577767","0.218749786377266","2.92191979977613","8","0","0.714285714285714","0.186813186813187","0.527472527472527","0","0","0"
"2019.mist.negros.control50","Mistérios_Negros","70","70","200","2.18732200252218","0.612499401856345","0.608733291620027","9","0","0","0","0","0","0","0"
