"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","Alpha_ll","Alpha_inv","all.tax.btotal.2017","all.tax.brich.2017","all.tax.brepl.2017","inv.tax.btotal.2017","inv.tax.brich.2017","inv.tax.brepl.2017"
"2017.serreta.0","Lagoinha","0","0","50","0","0","0.151333536249753","20","2","0.86734693877551","0.670068027210884","0.197278911564626","0.91304347826087","0.91304347826087","0.001"
"2017.serreta.50","Lagoinha","0","0","250","0","0","0.756667681248764","19","2","0.883534136546185","0.570281124497992","0.313253012048193","0.75","0.75","0.001"
"2017.serreta.250","Lagoinha","0","0","250","0","0","0.756667681248764","17","1","0.948012232415902","0.636085626911315","0.311926605504587","0.6","0.6","0.001"
"2017.serreta.Control 50","Lagoinha","50","293","250","2.54950975679639","3.52929300372304","0.756667681248764","15","1","0.001","0.001","0.001","0.001","0.001","0.001"
"2017.mist.negros.0","Mistérios_Negros","0","0","0","0","0","0","13","0","0.428571428571429","0.382488479262673","0.488479262672811","0.428571428571429","0.001","0.001"
"2017.mist.negros.50","Mistérios_Negros","0","-25","50","0","-0.301134215334731","0.151333536249753","10","1","0.538461538461538","0.136986301369863","0.616438356164384","0.538461538461538","0.999","0.001"
"2017.mist.negros.250","Mistérios_Negros","0","0","200","0","0","0.605334144999011","10","0","0.416666666666667","0.605932203389831","0.101694915254237","0.416666666666667","0.001","0.001"
"2017.mist.negros.max","Mistérios_Negros","0","25","960","0","0.301134215334731","2.90560389599525","9","0","0.5","0.259493670886076","0.455696202531646","0.5","0.001","0.001"
"2017.mist.negros.control50","Mistérios_Negros","50","50","200","2.54950975679639","0.602268430669461","0.605334144999011","9","0","0.001","0.001","0.001","0.001","0.001","0.001"
"2017.malhadas.0","Pico_Vara","0","0","0","0","0","0","25","3","0.63","0.225","0.405","0.569230769230769","0.507692307692308","0.0615384615384615"
"2017.malhadas.50","Pico_Vara","0","0","50","0","0","0.151333536249753","26","3","0.587939698492462","0.190954773869347","0.396984924623116","0.453125","0.421875","0.03125"
"2017.malhadas.250","Pico_Vara","0","0","250","0","0","0.756667681248764","26","4","0.534090909090909","0.346590909090909","0.1875","0.692307692307692","0.307692307692308","0.384615384615385"
"2017.malhadas.max","Pico_Vara","0","0","400","0","0","1.21066828999802","27","2","0.001","0.001","0.001","0.001","0.001","0.001"
